work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,3,2,84,80000,7,85847,26,100,25,0
2023,2,0,66,30000,19,30000,75,100,70,2
2023,2,0,66,25500,19,25500,75,100,70,2
2023,3,2,47,175000,19,175000,11,100,12,1
2023,3,2,47,120000,19,120000,11,100,12,1
2023,3,2,8,222200,19,222200,75,0,70,0
2023,3,2,8,136000,19,136000,75,0,70,0
2023,3,2,47,219000,19,219000,11,0,12,1
2023,3,2,47,141000,19,141000,11,0,12,1
2023,3,2,47,147100,19,147100,75,0,70,1
2023,3,2,47,90700,19,90700,75,0,70,1
2023,3,2,25,130000,19,130000,75,100,70,1
2023,3,2,25,100000,19,100000,75,100,70,1
2023,0,2,8,213660,19,213660,75,0,70,0
2023,0,2,8,130760,19,130760,75,0,70,0
2023,3,2,38,147100,19,147100,75,0,70,1
2023,3,2,38,90700,19,90700,75,0,70,1
2023,3,2,47,170000,19,170000,75,0,70,1
2023,3,2,47,150000,19,150000,75,0,70,1
2023,2,2,25,150000,19,150000,75,100,70,1
2023,2,2,25,110000,19,110000,75,100,70,1
2023,3,2,88,275000,19,275000,20,0,20,1
2023,3,2,88,174000,19,174000,20,0,20,1
2023,3,2,4,230000,19,230000,29,100,28,1
2023,3,2,4,143200,19,143200,29,100,28,1
2023,3,2,18,225000,19,225000,75,0,70,1
2023,3,2,18,156400,19,156400,75,0,70,1
2023,3,2,69,200000,19,200000,75,0,70,1
2023,3,2,69,130000,19,130000,75,0,70,1
2023,3,2,50,90000,19,90000,11,0,12,1
2023,3,2,50,72000,19,72000,11,0,12,1
2023,3,2,33,253200,19,253200,75,0,70,1
2023,3,2,33,90700,19,90700,75,0,70,1
2023,3,2,23,342810,19,342810,75,0,70,1
2023,3,2,23,184590,19,184590,75,0,70,1
2023,2,2,33,162500,19,162500,75,0,70,1
2023,2,2,33,130000,19,130000,75,0,70,1
2023,2,2,25,105380,19,105380,75,0,70,1
2023,2,2,25,64500,19,64500,75,0,70,1
2023,0,2,41,100000,19,100000,56,100,53,0
2023,0,2,22,30000,19,30000,56,100,53,0
2022,2,2,69,1650000,12,20984,39,50,38,0
2023,0,2,8,204620,19,204620,75,0,70,0
2023,0,2,8,110680,19,110680,75,0,70,0
2023,3,2,33,270703,19,270703,75,0,70,1
2023,3,2,33,221484,19,221484,75,0,70,1
2023,3,2,47,212750,19,212750,75,100,70,1
2023,3,2,47,185000,19,185000,75,100,70,1
2023,3,2,47,262000,19,262000,75,100,70,1
2023,3,2,47,245000,19,245000,75,100,70,1
2023,3,2,47,275300,19,275300,75,100,70,1
2023,3,2,47,183500,19,183500,75,100,70,1
2023,3,2,47,218500,19,218500,75,100,70,1
2023,3,2,47,199098,19,199098,75,100,70,1
2023,3,2,33,203300,19,203300,75,100,70,1
2023,3,2,33,123600,19,123600,75,100,70,1
2023,3,2,88,189110,19,189110,75,0,70,1
2023,3,2,88,139000,19,139000,75,0,70,1
2023,1,2,47,258750,19,258750,75,0,70,1
2023,1,2,47,185000,19,185000,75,0,70,1
2023,3,2,33,231500,19,231500,75,100,70,1
2023,3,2,33,166000,19,166000,75,100,70,1
2023,3,2,47,172500,19,172500,75,100,70,1
2023,3,2,47,110500,19,110500,75,100,70,1
2023,3,2,33,238000,19,238000,75,0,70,1
2023,3,2,33,176000,19,176000,75,0,70,1
2023,3,2,33,237000,19,237000,75,100,70,1
2023,3,2,33,201450,19,201450,75,100,70,1
2023,3,2,8,309400,19,309400,75,0,70,0
2023,3,2,8,159100,19,159100,75,0,70,0
2023,3,2,33,115000,19,115000,75,0,70,1
2023,3,2,33,81500,19,81500,75,0,70,1
2023,3,2,47,237000,19,237000,75,100,70,1
2023,3,2,47,201450,19,201450,75,100,70,1
2023,3,2,23,280000,19,280000,75,0,70,1
2023,3,2,23,210000,19,210000,75,0,70,1
2023,3,2,31,280100,19,280100,75,100,70,1
2023,3,2,31,168100,19,168100,75,100,70,1
2023,3,2,33,193500,19,193500,75,100,70,1
2023,3,2,33,139000,19,139000,75,100,70,1
2023,2,2,47,510000,9,65062,32,0,31,0
2023,3,2,69,150000,19,150000,63,100,70,1
2023,2,2,6,65000,7,69751,39,100,20,2
2022,0,2,1,300000,19,300000,39,50,38,0
2023,2,2,69,90000,7,96578,57,100,54,0
2023,3,2,18,185900,19,185900,75,0,70,1
2023,3,2,18,129300,19,129300,75,0,70,1
2023,3,2,33,225000,19,225000,75,100,70,1
2023,3,2,33,175000,19,175000,75,100,70,1
2023,3,2,33,185000,19,185000,75,0,70,1
2023,3,2,33,140000,19,140000,75,0,70,1
2023,3,2,47,45000,7,48289,26,0,25,1
2023,3,2,47,36000,7,38631,26,0,25,1
2023,3,2,47,105000,19,105000,75,0,70,1
2023,3,2,47,70000,19,70000,75,0,70,1
2023,0,2,69,163196,19,163196,75,0,70,1
2023,0,2,69,145885,19,145885,75,0,70,1
2023,3,2,33,217000,19,217000,75,100,70,1
2023,3,2,33,185000,19,185000,75,100,70,1
2023,3,2,25,202800,19,202800,75,0,70,0
2023,3,2,25,104300,19,104300,75,0,70,0
2023,3,2,25,145000,19,145000,75,0,70,1
2023,3,2,25,65000,19,65000,75,0,70,1
2023,3,2,33,165000,19,165000,75,0,70,1
2023,3,2,33,132300,19,132300,75,0,70,1
2023,3,2,33,179170,19,179170,75,0,70,1
2023,3,2,33,94300,19,94300,75,0,70,1
2023,3,2,4,152500,19,152500,75,0,70,1
2023,3,2,4,116450,19,116450,75,0,70,1
2023,3,2,33,247300,19,247300,75,0,70,1
2023,3,2,33,133800,19,133800,75,0,70,1
2023,3,2,88,203000,19,203000,75,0,70,1
2023,3,2,88,133000,19,133000,75,0,70,1
2023,0,2,89,220000,19,220000,75,50,70,0
2022,0,2,69,54000,3,56536,13,100,14,2
2023,3,2,47,120000,19,120000,75,0,70,1
